video,caption
B0943.9,A dog is seen walking on a rocky hillside in the video.
B0894.26,"A group of fish swim in the water, and one of them is seen swimming alone."
B0899.42,A bird is seen flying over a rocky area in the video.
B0862.4,A monkey is seen climbing up a rock face in the video.
B0664.38,A bird is seen flying over a forest in the video.
B1003.48,A dog is seen walking on the rocks in the video.
B1031.5,A group of birds are seen flying over a rocky cliff.
B0810.58,A deer is seen walking through the woods in the video.
B0805.50,A deer is seen walking through the woods in the video.
B0709.34,A monkey is seen climbing up a tree in the video.
B0842.31,A cow is seen walking in the mud in the video.
B0633.19,A bird is seen flying over a forest in the video.
B0688.46,A lion is seen walking through the grass in the video.
B0915.2,A group of baboons are seen walking across a rocky terrain.
B0999.45,A group of monkeys are seen climbing up a rocky cliff.
B0671.48,A deer is seen walking through the woods in the video.
B0878.1,A dog is seen walking through the woods in the video.
B0953.19,A group of deer are seen walking through a rocky area.
B0993.47,A dog is seen walking on the ground in the video.
B0654.50,A giraffe is seen standing in a field with trees in the background.
B0802.2,A deer is seen walking through the woods in the video.
B0936.19,A small animal is seen walking on the ground in the video.
B0792.30,A deer is seen walking through the woods in the video.
B0757.4,A bear is seen walking through the woods and climbing up a tree.
B0402.2,A small animal is seen walking on the rocks in the video.
B1025.16,A bear is seen walking on a rock in the video.
B0855.9,A cow is seen walking through a rocky area in the video.
B0478.2,A bird is seen walking on the ground in the video.
B0662.46,A monkey is seen eating leaves from a tree in the video.
B0210.15,A small animal is seen running across the ground in the video.
B0422.8,A small animal is seen climbing up a rocky cliff.
B0962.12,Two mountain goats are seen walking on a rocky hillside.
B0897.15,A bird is seen flying over a rocky area in the video.
B0554.2,A small animal is seen walking across a rocky terrain.
B0735.8,A small lizard is seen crawling on a rock in the video.
B1002.6,A group of wolves are seen walking through the woods.
B0932.3,A deer is seen walking through the woods in the video.
B0766.32,A baboon is seen eating leaves from a tree in the video.
B0315.3,A small animal is seen walking through the brush in the video.
B0676.2,A deer is seen walking through the woods in the video.
B0739.5,A deer is seen walking through the woods in the video.
B0775.31,A monkey is seen eating leaves from a tree in the video.
B1024.45,A group of squirrels are seen running around on a rock.
B1026.54,A lizard is seen on a rock in the video.
B0135.6,A group of elephants are seen walking through a forest.
B0999.63,A small bird is seen perched on a rock in the video.
B0640.39,A lion is seen walking through the grass in the video.
B0026.10,A dog is seen walking on the grass in the video.
B0688.2,A deer is seen walking through the woods in the video.
B0929.15,A small animal is seen walking on the ground in the video.
B0691.30,A group of baboons are seen walking through the grass in the wild.
B0533.2,A baboon is seen walking on the ground in the video.
B0687.58,A deer is seen walking through a forest and looking around.
B0401.3,A black and white dog is seen running through the woods.
B0753.37,A group of elephants are seen walking through a forest.
B0072.7,A monkey is seen climbing up a tree in the video.
B0746.34,A kangaroo is seen walking on a tree branch in the video.
B0779.8,A lion is seen walking through the grass in the video.
B0757.15,A bear is seen walking through the woods in the video.
B0137.5,A group of animals are seen walking through a forest.
B0039.5,A bear is seen walking through the woods in the video.
B0309.11,A group of animals are seen walking through a field of grass.
B0786.48,A black bear is seen walking through the woods in the video.
B0813.13,A group of bears are seen walking through the woods.
B1024.60,A group of monkeys are seen climbing up a rock face.
B0799.56,A gorilla is seen walking through the grass in the video.
B0885.31,A group of elephants are seen walking through a river.
B0769.63,A snake is seen moving through the grass in the video.
B0747.14,A bear is seen walking through the woods in the video.
B0669.6,A deer is seen walking through the woods in the video.
B0235.2,A small animal is seen walking through the grass in the video.
B0692.19,A lion is seen walking through a forest in the video.
B0911.12,A small animal is seen walking on the ground in the video.
B0739.1,A deer is seen walking through the woods in the video.
B0718.36,A baboon is seen sitting on the ground in a forest.
B0735.27,A bear is seen walking through the woods in the video.
B0678.5,A bear is seen walking through the woods in the video.
B1049.28,A dog is seen walking on a rock in the video.
B0709.9,A monkey is seen climbing up a tree in the video.
B0586.8,A group of birds are seen flying in the air.
B0601.7,A group of monkeys are seen standing on a rock wall.
B0112.5,A lion is seen walking through the trees in the video.
