video,caption
PWPVJGQD,A small insect is seen crawling on a plant in the video.
FYJFOFFP,A bird is seen perched on a branch in the video.
OAKKHZJZ,A group of birds are seen flying in the air.
EMVTQFFP,A dog is seen walking through a field of trees.
JGNBLLDC,A bird is seen walking on the ground in the video.
QVGVTVMW,A lizard is seen crawling on a rock in the video.
LUGOPZYO,A duck is seen walking on the water and then standing on one leg.
ESAXHBGG,A bird is seen standing on a branch and looking around.
GHFTAPKK,A bird is seen standing on one leg in the water.
CGUKELKY,A lizard is seen in the video with its mouth open.
QWDFLDAL,"A group of fish swim in the water, and one of them is seen swimming alone."
DHLSWJKQ,A frog is seen sitting on a rock in the video.
QXKMFFXO,A bird is seen standing in the water and then flying away.
IQTLTZQJ,A fish swims through the water and jumps out of the water.
QCDSVXSF,A bird is seen sitting on a nest with its beak open.
ETGKYDGW,A bird is seen walking on the snow and then flying away.
TQCINWWK,A red and white octopus is seen swimming in the ocean.
CLXHNVKA,A bird is seen standing in a field and then flying away.
WKZQBSPG,A bird is seen standing on a rock and then flying away.
JFHINUXS,A duck is seen walking in the grass and then it stops and looks around.
OBDCSWSW,A chameleon is seen in a close up shot with its eyes open.
VYQLSIFB,A frog is seen sitting on a leaf in the video.
IHGIQMWW,A bird is seen standing on a branch and looking around.
WFGYETHG,A deer is seen walking through the woods in the video.
IMKDLXDO,A zebra is attacked by a lion in a field.
WSKWBSBA,A bird is seen standing in the grass and looking around.
CCNPCFGA,A bird is seen perched on a branch and then it flies away.
FOSYAVMP,A bird is seen perched on a branch with yellow flowers.
RDMYMVMW,A snake is seen in the grass and moves its head forward.
WESJRPLS,A group of white birds are seen standing in a body of water.
HVGFBXXP,A small black ant is seen crawling on the ground in the video.
PMXRVHXM,A snake is seen moving across a rocky surface in the video.
QFMKFJVY,A bird is seen flying over a field of flowers.
LYPOZXDO,The giraffes are seen walking in the grassy field.
SFXSCIYC,A bird is seen standing in a field with its wings outstretched.
HGZQXIQR,A cow is seen standing in a field and looking around.
UVVCJUJL,A penguin is seen walking on the ice and then swimming in the water.
RMFHBSOM,A bird flies through the sky with its wings spread wide.
ERKBULHH,A wolf is seen walking through the woods in the video.
BSZRCPLS,A group of birds are seen standing in a body of water.
EUHWNUDX,A leopard is seen climbing up a mountain side in the video.
NXIOIKOU,A bird is seen perched on a branch and then takes flight.
DFGMYPTK,A bird is seen standing on a rock and looking around.
HQSGNMZL,A butterfly is shown on a person's finger in the video.
GICMPMYV,A lizard is seen climbing up a tree branch in the video.
AWRPDVJP,A spider is seen crawling on a plant in the video.
KBIZDHGA,A dog is seen walking on a dirt road with birds flying around.
AHZOSOIM,A snake is seen moving across the ground in a desert.
MTBCOJVY,A bird is seen flying through the air in the video.
PBEELXER,A spider is seen crawling on a leaf in the video.
NFVMZXDO,A giraffe is seen walking on a beach and then running.
MZDWZNCR,Two ducks are seen swimming in a pond with tall grass.
RTMPHVTT,A bee is seen walking on a flower covered in snow.
IYBWTVMW,A group of kangaroos are seen standing in the desert.
FCDCRDMX,A bird is seen standing on a tree branch and then turns its head to the right.
KHXSKXSF,A bird is seen eating a bug on a branch.
AXUJCTFT,A group of flamingos are seen standing in a pool of water.
NJBFZVEI,A bird is seen flying over a field of grass.
YNEOGBSK,A shark is seen swimming in the ocean and then a shark is shown with a shark fin on its back.
