video,caption
fKriDR56VgE,A small animal is seen walking through tall grass in the video.
3wq8ZA39-k8_2,A squirrel is seen climbing up a tree in the video.
amLblAE2Xqc,A cow is seen eating hay in a barn.
Zn8J9XtkIM0,A herd of elephants are seen walking through a forest.
8fo1R6KPg1s,A polar bear is seen walking on a dirt hillside in the video.
wsRTH3hZjMY,A black and white guinea pig is seen sleeping on a bed of hay.
KNK-xoF4Vg8,Two elephants are seen walking through a grassy area and one of them is spraying water on the other.
yNw4s_FH5TY,A monkey is seen eating from a plate on a fence.
kxFDLRd9vR4_1,A giraffe is seen standing in a cage and looking out.
3QV8KDzJ4zk,The video shows a dog playing with a cat and a dog in a yard.
a45suyzo3CU,A white dog is seen playing in the snow and running around.
4MOC2Py3PKY,A deer is seen walking through the woods in the video.
mUB69NMc61c,An elephant is seen walking through a body of water and splashing water on itself.
amfHR9lGxZ0,A deer is seen walking through the forest in the video.
uuwAsrJR39E_2,A monkey is seen sitting on a branch in a tree.
BSXtpHxtai8,A horse is seen running in a field with a baby horse.
JDirVezXuBg,A whale is seen swimming in the water and doing flips.
G4cdMoC1b-I_2,A black bear is seen walking across a dirt field and then standing on a rock.
WVU5iYdaCXk,The video shows a group of deer running through a field.
6rBpPlvUddk,A white rabbit is seen eating a carrot in a cage.
6z4SwoOakZA_1,The video shows a group of animals walking through a field and a bear walking through the grass.
nmKyNzaJ_Lc,A camel is seen drinking water from a tub in the desert.
gywWtOQO2EQ,A tiger is seen eating a piece of meat on the ground.
xAHqNW5g014,A dog is seen sleeping on a bed with a pink toy.
KljDjvoRzUk,A bear is seen walking on a dock and then laying down on the ground.
mxbSEg3nPtY,Two rhinos are seen walking in a zoo enclosure.
0yeKFIj5R5E,A small animal is seen eating grass in a field.
Kh7zxK-XWbE,A black bear is seen walking through the grass and eating.
tM_FmFQrbLQ_1,A white horse is seen walking in a field and then turns around to face the camera.
RPOTmYK58L0,A black bear is seen walking through a field of grass.
xk0PnLdZBck,A bulldog is seen eating from a bowl while laying on the floor.
TNtLWlkCK98_1,A deer is seen lying down in the grass in the video.
ZjGfe2Y6Jqo,"The video shows a variety of animals in their natural habitats, including a crocodile, a tiger, a cat, and a monkey."
ovX89ksPNbk,A group of deer are seen walking in a forest.
arsHsIxHeMQ,A seal is seen laying on the sand and looking at the camera.
aHafEi-Qfr4,A polar bear is seen walking through the snow in the video.
MNH5jYoF9Qc,A dog is seen running through a field of trees.
EjI4o91Etxg,A brown bear is seen walking through the woods in the video.
xcyZXelMHqI,A rhino is seen walking in a zoo enclosure and then turns around to face the camera.
0tDQwFIZ5ts_2,A squirrel is seen eating a red apple in a forest.
7o0QGoT6f50,A squirrel is seen eating a nut in a field.
_BWwXKDr-aE,An elephant is seen drinking water from a spout in a video.
q3NjK6nrKb8,A herd of animals is seen walking across a snowy field.
8f4JtDOFUXI,A group of pigs are seen resting under a tree in a pen.
9F2qI6BTIt8,A seal is seen swimming in the ocean and then it turns around and swims back.
mtGLETIVhZc,A goat is seen eating a leaf from a fence.
qrwyzluR3ew,A whale is seen breaching the water in the video.
GoHqNCoGB8M,"Two animals are seen fighting in a field, with one of them being thrown to the ground."
qX8rE-d1Fxc_2,Two elephants are seen walking in the wild and then they stop to touch each other.
uPPDjNd1nG8,A child is seen looking at a group of turtles in a glass tank.
_r2BGb6annY,A squirrel is seen sitting on a bird feeder and eating from it.
Vd-xeK5C2UU,A fish is seen swimming in a tank and then laying on the bottom.
igGGp34srA0,The video shows elephants walking around in a zoo and playing with each other.
NUbyjwzmMUk,A small animal is seen eating from a white bowl.
CYGS9B5xAkw,Two dogs are playing with a toy on the floor.
rRbMyK4cevQ,A fox is seen sleeping on a tree branch in the video.
E6Sd9hf25T0,A gorilla is seen walking on a dirt path and then turns around to face the camera.
IaGGn0lNXNo_2,A gorilla is seen in a video with a sign that says 720 is great.
DuJD55viu_Y,A seal is seen swimming in the water and playing with a fish.
u1PiAOAgOGU,A seal is seen swimming in the water and then laying on the grass.
rPmhcweOml4,A group of wild animals are seen walking through a field.
ZkIA1cZnuRM,A group of sheep are seen grazing in a field.
viw2Tn1L6n4_2,A baby monkey is seen sleeping in a nest with its mother.
FVJCEir1814,The cows are seen grazing in a field and walking around.
JuivjbGs8jc,A cheetah is seen lying down on the ground with its head resting on its paws.
y32m37qRqQM_2,A monkey is seen walking on a dirt ground in a zoo.
_U6XReDNjyA,A dog is seen running on the beach and then jumps into the water.
I-bqJSYTm7g,A mother pig is seen laying down with her babies in a dirt field.
ERaMtIoj5TQ,A mother cow and her calf are seen walking in a field.
xVHxWKAnUv8,A group of animals are seen running through a forest.
Qf-v9EL0Fw4,A bear is seen eating a pumpkin in a zoo.
d2WG1A87jhM,A deer is seen walking around a pen and eating hay.
ZD2NLl8ygww_3,A horse is seen grazing in a field and then a baby horse is shown standing in a field.
5IWHHWYhB2M,A dog is seen walking on the street in the video.
pKDK6yyJPNU_1,A guinea pig is seen eating hay from a feeder and then eating from a bowl.
qi1nEjDP8YM,A small animal is seen digging in the dirt and then running away.
bTDJ3Qc6gpI,A raccoon is seen climbing up a tree and looking around.
jRINvMNzyjY_1,A herd of camels are seen drinking water from a river.
yCOT-Tf-JN4,A person is seen feeding guinea pigs in a cage.
91gbxmWwgDI,A cat is seen sleeping on a bed and is petted by a person.
RvYgh3aerd8,A baboon is seen walking through the grass and climbing a tree.
nK37zp6WkBs_2,A dog is seen drinking water from a hose in a field.
0-CLehXle7o_1,A group of seals are seen resting on the beach as the sun sets.
2kIJXo4eNc8,A dog is seen sitting in front of a door and looking at the camera.
KM1fiStOd-s,A dog is seen laying on a bed with a blanket and a pillow.
GyPKMq65OoU,A bear is seen walking through a river and looking at the camera.
cwcT-d1QX-k,A bulldog is seen sitting on a couch with popcorn in front of it.
klcFQppmnO8,A deer is seen drinking water from a stream while a baby deer watches.
cCNtO9OxFHA,A tiger is seen sleeping in a dark room.
aY6Y31pkYwE,An elephant is seen walking through a field of grass and trees.
lIK63PxaVSI_2,A horse is seen drinking water from a trough while a goat stands nearby.
Bve-_ew34t8_1,A giraffe is seen eating grass in a field.
len7D3elHRI,A bird is seen perched on a branch in the video.
p9qhjw15uZg,A rhino is seen grazing on grass in a field.
mjA4jVFQCDo,A deer is seen running through a field with a baby deer following behind.
L--tRZdUXP8,A herd of deer are seen grazing in a field.
pc6pDEuDgUc_2,A group of monkeys are seen sitting on a roof and looking around.
